カレンダー
ニュース
マーケッツ
インジケータ
カントリー
予想
日用品
インデックス
株式
通貨
暗号
ボンズ
収益
休日
日用品
インデックス
株式
通貨
暗号
ボンズ
 エクスポート
 収益率
 地図
 散布
 相関関係
 予想
		価格	前日比	毎週	毎月	YTD	YoY	日付
	カナダ	3.9250	 0.0730	0.05%	0.27%	0.49%	0.70%	2026-09-25

	メキシコ	9.4960	 0.0530	0.04%	0.32%	0.55%	0.95%	2026-09-25

	ペルー	6.2318	 0.0086	0.01%	0.28%	0.69%	0.32%	2026-09-24

	チリ	6.0500	 0.0600	0.02%	0.35%	0.64%	0.47%	2026-09-25

	コロンビア	12.8430	 0.0010	0.18%	0.74%	0.19%	1.55%	2026-09-25


	アジア	価格	前日比	毎週	毎月	YTD	YoY	日付

	日本	3.0720	 0.0123	0.08%	0.18%	1.00%	1.41%	2026-09-25

	インド	7.1120	 0.0020	0.05%	0.26%	0.54%	0.61%	2026-09-25

	中国	1.6760	 0.0040	-0.01%	-0.01%	-0.19%	-0.23%	2026-09-24

	シンガポール	2.4871	 0.0035	0.04%	0.20%	0.26%	0.55%	2026-09-25

	韓国	4.4090	 0.0550	-0.14%	0.07%	1.02%	1.56%	2026-09-23

	台湾	1.9400	 0.1400	0.02%	0.06%	0.54%	0.57%	2026-09-25

	タイ	2.2930	 0.0030	0.05%	0.20%	0.63%	0.86%	2026-09-25

	ベトナム	4.5759	 0.0054	0.00%	0.01%	0.39%	0.82%	2026-09-25

	香港	4.0560	 0.0340	0.22%	0.50%	0.96%	0.95%	2026-09-25

	インドネシア	7.0830	 0.0750	-0.07%	0.01%	0.96%	0.65%	2026-09-25

	イスラエル	4.0770	 0.0790	0.11%	0.23%	0.16%	-0.12%	2026-09-24

	マレーシア	3.9745	 0.0166	0.02%	0.14%	0.48%	0.50%	2026-09-25

	パキスタン	12.6600	 0.0430	0.34%	0.60%	1.26%	0.66%	2026-09-25

	フィリピン	7.5740	 0.0180	0.07%	0.35%	1.54%	1.55%	2026-09-25


	オーストラリア	価格	前日比	毎週	毎月	YTD	YoY	日付

	オーストラリア	5.4000	 0.0290	0.11%	0.37%	0.63%	0.99%	2026-09-25

	ニュージーランド	5.1210	 0.0399	0.16%	0.43%	0.71%	0.88%	2026-09-25


	アフリカ	価格	前日比	毎週	毎月	YTD	YoY	日付

	南アフリカ	8.9400	 0.0800	0.10%	0.32%	0.73%	-0.23%	2026-09-25

	ザンビア	15.7800	 0.0100	-0.01%	-1.03%	-2.07%	-3.72%	2026-09-25

	ケニア	12.3820	 0.0180	-0.09%	-0.09%	-0.26%	-1.05%	2026-09-25

	ナイジェリア	15.9710	 0.2870	-0.78%	-1.16%	-0.84%	-0.67%	2026-09-24


政府債券利回りは、シリコンバレー銀行の崩壊後、投資家が利上げへの賭けを削減し、安全を求めたことでさらに低下しました。米国10年債利回りは3.5%の5週間ぶりの低水準に低下し、2年債利回りはほぼ50bps減の4.05%となり、1987年以来の最大の3日間の急落となりました。ドイツでは、10年債利回りがほぼ30bps減の2.17%に低下し、英国ジルトは3.27%に下落しました。 このページでは、実際の値、合意された数字、予測、統計、および政府債10年の国のリストに関する歴史的なデータチャートを含むテーブルを表示しています。 このページでは、最新の利回り価格、過去の値、およびチャートを含む、複数の国の政府債券利回りが提供されています。.





スタート画面  |  カントリー   |  インジケータ   |  Tradingeconomicsについて   |  接触

English
Español
Português
Français

Deutsch
Italiano
Polski
Indonesian

Русский
Türkçe
العربية

简体中文
日本語
한국어




Copyright ©2026 TRADING ECONOMICS
All Rights Reserved



